cabecera_organizadores,Licencia,str,Corredor o Club,str,Tipo,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabecera_licencias,Orden,int,Licencia,str,Cat,str,Nombre,str,Apellido1,str,Apellido2,str,Club,str,TipoNIF,str,NIF,str,IdTipo,str,FechaNac,date,nEnvioRank,str,fEnvioRank,date,SportIdent,int,,,,,,,,,,,,,,,,,,
cabecera_ranking_individual,Orden,int,Licencia,str,Cat,str,Nombre,str,Apellido1,str,Apellido2,str,Club,str,Total,float,Numero de Carreras,int,M1,float,M2,float,M3,float,Nom,str,Ap1,str,Ap2,str,,,,,,,,,,,,,,,,
cabecera_ranking_clubes,Orden,int,Club,str,Division,str,Total,float,Media,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cabecera_grupos_cerrados,Licencia,str,Cat,str,Puesto,int,Nombre,str,Apellidos,str,Club,str,Total,int,Numero de Carreras,int,Media,float,Derecho adquirido,str,,,,,,,,,,,,,,,,,,,,,,,,,,
carreras,CB1,float,CB2,float,Ca1,float,Ca2,float,J1,float,J2,float,CC1,float,CC2,float,CEOL,float,CEOS,float,CEOM,float,Por1,float,Por2,float,Mo1,float,Mo2,float,Pa1,float,Pa2,float,S1,float,S2,float,Ib1,float,Ib2,float,Bi1,float,Bi2,float
divisiones,0,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
division_honor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipos_organizador,Or,Se,Ju,An,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
licencias,RI,R,RAID,A,A1,A2,B,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipos_categoria_ranking_clubes,Jovenes,Senior,Veteranos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fecha_actual,31/12/13,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
temporada_actual,2013,str,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puntos_penalizacion,10,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puntos_ganador_nac,100,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puntos_ganador_inter,102,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puntos_ganador_inter_aux,103,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
puntos_fuera_categoria,25,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_carreras_total,15,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_carreras_total_elite,18,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_carreras_media,13,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_carreras_media_elite,15,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_carreras_organizador,3,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coeficiente_clubes,1.1,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_trofeos,3,int,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimo_elite,65,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimo_21A,92,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimo_21Aaux,60,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimo_21B,85,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimo_20,95,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
minimo_20aux,60,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coef_elite,1.25,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coef_20a,1,float,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#Hola soy un comentario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
num_max_corredores,5,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opcion_calculo_m1,final,continuo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
opcion_ranking_individual,coeficiente,fichero,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parametro1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parametro2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
parametro3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
